,cash,BTC
2025-04-04 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-05 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-06 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-07 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-08 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-09 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-10 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-11 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-12 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-13 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-14 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-15 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-16 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-17 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-18 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-19 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-20 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-21 00:00:00+00:00,0.0,87345.2566961
2025-04-22 00:00:00+00:00,0.0,87345.2566961
2025-04-23 00:00:00+00:00,0.0,87345.2566961
2025-04-24 00:00:00+00:00,0.0,87345.2566961
2025-04-25 00:00:00+00:00,0.0,87345.2566961
2025-04-26 00:00:00+00:00,0.0,87345.2566961
2025-04-27 00:00:00+00:00,0.0,87345.2566961
2025-04-28 00:00:00+00:00,0.0,87345.2566961
2025-04-29 00:00:00+00:00,0.0,87345.2566961
2025-04-30 00:00:00+00:00,0.0,87345.2566961
2025-05-01 00:00:00+00:00,0.0,180828.5411005
2025-05-02 00:00:00+00:00,0.0,180828.5411005
2025-05-03 00:00:00+00:00,0.0,180828.5411005
2025-05-04 00:00:00+00:00,0.0,180828.5411005
2025-05-05 00:00:00+00:00,0.0,180828.5411005
2025-05-06 00:00:00+00:00,0.0,185669.27376029996
2025-05-07 00:00:00+00:00,0.0,185669.27376029996
2025-05-08 00:00:00+00:00,0.0,185669.27376029996
2025-05-09 00:00:00+00:00,0.0,185669.27376029996
2025-05-10 00:00:00+00:00,0.0,185669.27376029996
2025-05-11 00:00:00+00:00,0.0,185669.27376029996
2025-05-12 00:00:00+00:00,0.0,185669.27376029996
2025-05-13 00:00:00+00:00,205894.4708613,0.0
2025-05-14 00:00:00+00:00,205894.4708613,0.0
2025-05-15 00:00:00+00:00,205894.4708613,0.0
2025-05-16 00:00:00+00:00,205894.4708613,0.0
2025-05-17 00:00:00+00:00,205894.4708613,0.0
2025-05-18 00:00:00+00:00,205894.4708613,0.0
2025-05-19 00:00:00+00:00,205894.4708613,0.0
2025-05-20 00:00:00+00:00,205894.4708613,0.0
2025-05-21 00:00:00+00:00,205894.4708613,0.0
2025-05-22 00:00:00+00:00,205894.4708613,0.0
2025-05-23 00:00:00+00:00,205894.4708613,0.0
2025-05-24 00:00:00+00:00,205894.4708613,0.0
2025-05-25 00:00:00+00:00,205894.4708613,0.0
2025-05-26 00:00:00+00:00,205894.4708613,0.0
2025-05-27 00:00:00+00:00,205894.4708613,0.0
2025-05-28 00:00:00+00:00,205894.4708613,0.0
2025-05-29 00:00:00+00:00,205894.4708613,0.0
2025-05-30 00:00:00+00:00,205894.4708613,0.0
2025-05-31 00:00:00+00:00,205894.4708613,0.0
2025-06-01 00:00:00+00:00,205894.4708613,0.0
2025-06-02 00:00:00+00:00,205894.4708613,0.0
2025-06-03 00:00:00+00:00,205894.4708613,0.0
2025-06-04 00:00:00+00:00,205894.4708613,0.0
2025-06-05 00:00:00+00:00,205894.4708613,0.0
2025-06-06 00:00:00+00:00,205894.4708613,0.0
2025-06-07 00:00:00+00:00,205894.4708613,0.0
2025-06-08 00:00:00+00:00,205894.4708613,0.0
2025-06-09 00:00:00+00:00,205894.4708613,0.0
2025-06-10 00:00:00+00:00,205894.4708613,0.0
2025-06-11 00:00:00+00:00,205894.4708613,0.0
2025-06-12 00:00:00+00:00,205894.4708613,0.0
2025-06-13 00:00:00+00:00,205894.4708613,0.0
2025-06-14 00:00:00+00:00,205894.4708613,0.0
2025-06-15 00:00:00+00:00,205894.4708613,0.0
2025-06-16 00:00:00+00:00,205894.4708613,0.0
2025-06-17 00:00:00+00:00,205894.4708613,0.0
2025-06-18 00:00:00+00:00,100644.11086130001,104886.77999999998
2025-06-19 00:00:00+00:00,100644.11086130001,104886.77999999998
2025-06-20 00:00:00+00:00,100644.11086130001,104886.77999999997
2025-06-21 00:00:00+00:00,100644.11086130001,104886.77999999998
2025-06-22 00:00:00+00:00,0.0,205850.64999999982
2025-06-23 00:00:00+00:00,0.0,205850.64999999982
2025-06-24 00:00:00+00:00,0.0,205850.64999999982
2025-06-25 00:00:00+00:00,0.0,205850.64999999982
2025-06-26 00:00:00+00:00,0.0,205850.64999999982
2025-06-27 00:00:00+00:00,0.0,205850.64999999982
2025-06-28 00:00:00+00:00,0.0,205850.64999999982
2025-06-29 00:00:00+00:00,0.0,205850.64999999982
2025-06-30 00:00:00+00:00,0.0,205850.64999999982
2025-07-01 00:00:00+00:00,0.0,205850.64999999982
2025-07-02 00:00:00+00:00,0.0,205850.64999999982
2025-07-03 00:00:00+00:00,0.0,205850.64999999982
2025-07-04 00:00:00+00:00,0.0,205850.64999999982
2025-07-05 00:00:00+00:00,0.0,205850.64999999982
2025-07-06 00:00:00+00:00,215853.41052000006,0.0
2025-07-07 00:00:00+00:00,215853.41052000006,0.0
2025-07-08 00:00:00+00:00,215853.41052000006,0.0
2025-07-09 00:00:00+00:00,215853.41052000006,0.0
